Shipment_ID,Origin,Destination,Transport_Mode,Cargo_Type,Weight_KG,Volume_CBM,Distance_KM,Container_Type,Fuel_Price,Season,Carrier,Transit_Days,Actual_Freight_Price_INR
SHP00001,Chennai,Colombo,Air,Furniture,507,2.17,950,AIR_CARGO,93.94,Off_Peak,Carrier_D,3,59141
SHP00002,Pune,Jebel Ali,Road,Chemicals,11430,30.27,11836,20FT,113.67,Peak,Carrier_D,27,329828
SHP00003,Mumbai,Rotterdam,Road,Chemicals,2642,8.62,9778,40FT_HC,113.65,Peak,Carrier_E,23,310058
SHP00004,Kolkata,Antwerp,Road,Solar Panels,4321,18.06,8310,40FT_HC,98.66,Normal,Carrier_E,20,200448
SHP00005,Delhi,Colombo,Sea,General Cargo,4163,17.43,5808,LCL,86.75,Normal,Carrier_E,16,46671
SHP00006,Cochin,Colombo,Sea,Electronics,7050,22.13,12116,LCL,114.56,Normal,Carrier_D,26,122354
SHP00007,Bengaluru,Dubai,Road,General Cargo,5550,15.09,3217,40FT_HC,82.24,Off_Peak,Carrier_C,9,79042
SHP00008,Hyderabad,London,Road,Furniture,9860,28.47,6975,40FT,93.96,Peak,Carrier_E,17,206996
SHP00009,Delhi,Antwerp,Air,Automotive Parts,2470,10.22,10355,AIR_CARGO,107.58,Peak,Carrier_D,11,846750
SHP00010,Visakhapatnam,New York,Air,Textiles,4836,21.84,4227,AIR_CARGO,80.83,Normal,Carrier_E,6,373409
SHP00011,Pune,Jebel Ali,Air,Pharmaceuticals,3953,20.53,7683,AIR_CARGO,95.38,Peak,Carrier_D,9,824976
SHP00012,Ahmedabad,Los Angeles,Sea,General Cargo,11262,27.45,5383,20FT,86.28,Normal,Carrier_B,15,88831
SHP00013,Delhi,Los Angeles,Road,Food Products,7724,23.59,7292,20FT,94.2,Normal,Carrier_A,17,134178
SHP00014,Cochin,London,Air,Solar Panels,4050,19.14,4648,AIR_CARGO,83.21,Normal,Carrier_A,7,442715
SHP00015,Bengaluru,London,Road,Automotive Parts,5008,15.95,10096,LCL,95.87,Normal,Carrier_D,24,118080
SHP00016,Hyderabad,Antwerp,Air,Electronics,3382,13.97,11106,AIR_CARGO,109.24,Normal,Carrier_D,12,845036
SHP00017,Ahmedabad,Dubai,Road,Electronics,7917,20.93,1829,40FT_HC,91.55,Peak,Carrier_B,7,122344
SHP00018,Cochin,Singapore,Sea,Textiles,24794,45.44,4351,40FT_HC,80.37,Peak,Carrier_B,12,231760
SHP00019,Ahmedabad,New York,Sea,Furniture,4409,15.66,4427,LCL,82.32,Peak,Carrier_C,13,47503
SHP00020,Mumbai,Hamburg,Sea,Furniture,5382,14.55,10596,20FT,98.69,Off_Peak,Carrier_D,25,92499
SHP00021,Cochin,Jebel Ali,Air,Solar Panels,4447,22.74,11965,AIR_CARGO,114.63,Normal,Carrier_A,13,991769
SHP00022,Ahmedabad,New York,Road,Chemicals,9067,27.54,5872,20FT,87.83,Off_Peak,Carrier_E,15,115641
SHP00023,Delhi,Singapore,Sea,Food Products,9949,18.4,4054,20FT,84.74,Off_Peak,Carrier_D,12,61675
SHP00024,Visakhapatnam,Los Angeles,Air,Machinery,4540,20.81,11898,AIR_CARGO,112.85,Normal,Carrier_D,13,869309
SHP00025,Cochin,Singapore,Sea,Food Products,25280,46.66,7485,40FT,95.5,Off_Peak,Carrier_B,19,195891
SHP00026,Kolkata,Dubai,Sea,Electronics,6599,13.82,8488,20FT,100.57,Peak,Carrier_B,21,130459
SHP00027,Delhi,Jebel Ali,Sea,Textiles,10973,22.57,10959,20FT,110.04,Normal,Carrier_E,26,136097
SHP00028,Delhi,Rotterdam,Road,Chemicals,7297,20.66,6973,40FT,75.96,Peak,Carrier_E,17,197017
SHP00029,Bengaluru,New York,Sea,Chemicals,12752,31.14,14604,40FT_HC,85.44,Normal,Carrier_A,31,285220
SHP00030,Cochin,Jebel Ali,Air,Pharmaceuticals,4161,21.57,12247,AIR_CARGO,114.57,Off_Peak,Carrier_A,13,1038589
SHP00031,Delhi,Shanghai,Air,Food Products,2264,9.81,4599,AIR_CARGO,81.52,Peak,Carrier_E,7,325986
